observation_year,adaptive_capacity_index,foreign_direct_investment_net_inflows_pct_gdp,forest_area_pct_land_area,renewable_energy_consumption_pct_final_energy_use,natural_capital_dependency_index,urban_population_pct_total_population,readiness_index,ecological_footprint_index,co2_emissions_metric_tonnes_per_capita,greenhouse_gas_emissions_metric_tonnes_per_capita,average_temperature_celsius,annual_precipitation_mm,land_area_sq_km,log_real_gdp_constant_2015_usd,log_total_population,log_total_greenhouse_gas_emissions_kt_co2e,log_official_development_assistance_usd,country_name_encoded,country_name
1995,0.561661248370153,2.925485966576154,28.432481751824817,50.6097095765374,0.218897271,38.911,0.331604502317246,1.13278024391874,0.6117102037026348,2.3307727248772188,11.21,1167.57,27400.0,22.280038549112362,14.97483687621653,8.91341571815747,20.880731026750095,0,Albania
1996,0.564242593407467,2.815940617719278,28.361313868613134,51.63636055808,0.218897271,39.473,0.332123931635504,1.26549919105551,0.6218369568751335,2.256920934851373,10.95,1212.62,27400.0,22.36713325084582,14.968621764182094,8.875007486048396,20.919309483607844,0,Albania
1997,0.565245840197482,2.1031528051091977,28.29014598540146,55.953349416169,0.218897271,40.035,0.330587850759833,1.07688933032996,0.4700978089312866,2.039208063066797,11.18,868.01,27400.0,22.25149808592904,14.96236746519347,8.76732914779405,20.870107010304235,0,Albania
1998,0.569953582559449,1.7678957926246204,28.21897810218978,49.9833654433978,0.1942044906,40.601,0.328543946660703,1.23309376470978,0.5753500845444985,2.131991702173225,11.81,1010.87,27400.0,22.33610963681315,14.956074123273492,8.805525052709516,20.953329385495785,0,Albania
1999,0.57583059279516,1.2826413341929783,28.147810218978105,42.7183134087746,0.1942044906,41.169,0.329401633623116,1.44795124234648,0.9553593083841948,2.53797472833377,12.05,1138.7,27400.0,22.457360462855956,14.949740602564484,8.973478148521036,21.11403684502468,0,Albania
2000,0.578186405423573,4.108775955259288,28.076642335766422,41.4449996948242,0.1942044906,41.741,0.330022591468723,1.48808599907891,1.0262131085289965,2.661032098456893,12.37,796.5,27400.0,22.52451633621384,14.94336703628178,9.014447135152134,20.99160453469626,0,Albania
2001,0.576989758532907,5.285432754339789,28.12324817518249,39.125301361084,0.1942044906,42.435,0.335152098005458,1.48970690513716,1.0522280929868997,2.676319279988419,12.06,832.37,27400.0,22.604189553802897,14.933982335057037,9.010791269515602,20.953162536912473,0,Albania
2002,0.576047048835197,3.1048270744675626,28.16985401459854,35.8958015441895,0.1695117102,43.501,0.340498291199527,1.70193084364864,1.2291011828869784,2.8908459821501733,12.17,1101.34,27400.0,22.648555891616024,14.930983569067594,9.084890521258767,20.983551010673338,0,Albania
2003,0.573821596451642,3.1727081781452187,28.2164598540146,33.7517013549805,0.1448189298,44.573,0.339010875464902,1.70228383221379,1.3521444814081778,3.0431475554806924,11.98,1007.63,27400.0,22.70236806685906,14.92724207860329,9.132486932771318,21.015375594218717,0,Albania
2004,0.567327923220189,4.750174508890189,28.26306569343065,35.934700012207,0.1448189298,45.651,0.346756165186277,1.78530338392771,1.417273357672553,3.0757144428744683,11.72,1074.26,27400.0,22.75604785643822,14.923062766201856,9.138951775888529,20.978589998621942,0,Albania
