country_name,country_identifier,observation_year,adaptive_capacity_index,foreign_direct_investment_net_inflows_pct_gdp,forest_area_pct_land_area,real_gdp_constant_2015_usd,renewable_energy_consumption_pct_final_energy_use,natural_capital_dependency_index,urban_population_pct_total_population,readiness_index,official_development_assistance_usd,ecological_footprint_index,co2_emissions_metric_tonnes_per_capita,total_greenhouse_gas_emissions_kt_co2e,average_temperature_celsius,annual_precipitation_mm,land_area_sq_km,surface_area_sq_km,total_population,greenhouse_gas_emissions_metric_tonnes_per_capita
Colombia,28,2010,0.532573337250808,2.2438302406988933,54.80648039657504,233471483024.66415,29.7450008392334,0.1266195484,77.964,0.342779157256126,673090026.855469,2.02623081304127,1.4302551910933046,164350,24.98,3026.06,1109500,1141750,45222699,3.6342368685248085
Colombia,28,2011,0.522736088013117,4.372986003289035,54.685141054529076,249692829473.37387,28.906400680542,0.1266195484,78.335,0.356915763096602,1013590026.85547,1.98948691351944,1.5310073220080256,166910,24.63,3160.38,1109500,1141750,45662747,3.6552772438329213
Colombia,28,2012,0.520565541731829,4.054762643266979,54.5638017124831,259462400427.38577,28.903600692749,0.1266195484,78.701,0.356952092016887,764250000,1.90035167074029,1.5255322862988947,165340,24.79,2422.87,1109500,1141748,46075721,3.58844086237956
Colombia,28,2013,0.522597258662399,4.242275552891127,54.44246237043713,272783183252.0519,32.2916984558105,0.1266195484,79.061,0.359516196091093,857489990.234375,1.93110594423429,1.6730654232027482,172010,24.98,2457.9,1109500,1141749,46495492,3.6994984373968984
Colombia,28,2014,0.524687087967593,4.2425052578444875,54.32112302839116,285055780504.5438,32.3832015991211,0.1266195484,79.415,0.38275134811688,1224170043.94531,1.97266716491731,1.6994655859922134,175230,25.1,2399.83,1109500,1141749,46967706,3.73086137100245
Colombia,28,2015,0.523760138881816,3.9595418506828057,54.19978368634519,293481748240.7792,31.5995006561279,0.11220797,79.764,0.383080364925212,1355920043.94531,1.97503898246079,1.7051528338185993,176980,25.43,2180.39,1109500,1141749,47520667,3.724274324684879
Colombia,28,2016,0.525136794973269,4.899827538702094,54.04190175754845,299607834899.029,30.7357997894287,0.11220797,80.108,0.382375305798255,1106500000,1.9962739535377,1.738659398948601,180940,25.48,2469.63,1109500,1141749,48175048,3.75588624218911
Colombia,28,2017,0.527718111312384,4.392944901256246,53.84386660657954,303680586563.77124,32.5289993286133,0.11220797,80.446,0.381330071914494,850419982.910156,1.80723451973984,1.55510616635784,177470,24.9,2731.28,1109500,1141749,48909844,3.628512902228844
Colombia,28,2018,0.523644336792776,3.380835766516942,53.66424515547544,311467941587.1058,30.7182006835938,0.11220797,80.778,0.377885445455172,1781020019.53125,1.85662795631671,1.6006506184644966,184100,24.82,2593.66,1109500,1141750,49661056,3.707130190707181
Colombia,28,2019,0.523644336792776,4.325250852499862,53.484632717440284,321687568559.23285,30.588561503704103,0.11220797,81.104,0.376896620984179,902539978.027344,1.8413493996089667,1.599740974152535,186067.39130434784,25.22,2532.39,1109500,1141750,50339443,3.6962544719524972
