observation_year,adaptive_capacity_index,foreign_direct_investment_net_inflows_pct_gdp,forest_area_pct_land_area,renewable_energy_consumption_pct_final_energy_use,natural_capital_dependency_index,urban_population_pct_total_population,readiness_index,ecological_footprint_index,co2_emissions_metric_tonnes_per_capita,greenhouse_gas_emissions_metric_tonnes_per_capita,average_temperature_celsius,annual_precipitation_mm,land_area_sq_km,log_real_gdp_constant_2015_usd,log_total_population,log_total_greenhouse_gas_emissions_kt_co2e,log_official_development_assistance_usd,country_name_encoded,country_name
-1.6666666666666667,0.7331243625282481,-0.1651593300836646,-0.15525513451294776,1.3779989982405978,0.27431690640972556,-1.217297459134391,-0.8763996522320479,-1.1121730340323983,-0.8929329734065685,-0.8155628300089854,-0.7946508786924017,-0.007385480872884997,-0.36575522346947326,-1.0884292688517931,-0.3461946608369234,-0.8065269188853345,-0.06756699580060772,0,Albania
-1.5333333333333334,0.7503203187845056,-0.17151338397814428,-0.15826493012612391,1.4266829093777087,0.27431690640972556,-1.188870812165732,-0.8724239859845442,-1.0578354230974019,-0.8911802749375958,-0.824930335424633,-0.8258475298804677,0.042746394428675755,-0.36575522346947326,-1.0491168840739433,-0.3492062116530322,-0.824644410040045,0.010663092370763926,0,Albania
-1.4,0.7570035740897635,-0.21285783377829148,-0.16127472573929977,1.6313950323148663,0.27431690640972556,-1.160444165197073,-0.8841810136997323,-1.1350558159027135,-0.917442687751868,-0.8525454616766094,-0.7982504922910248,-0.34073741351074405,-0.36575522346947326,-1.1013117249377502,-0.35223675062304916,-0.8754372019430123,-0.08911056729073501,0,Albania
-1.2666666666666666,0.7883647949075545,-0.2323040370909713,-0.16428452135247576,1.3482976852654702,0.15713354373284355,-1.131815193338957,-0.8998248756351661,-1.0711028087039376,-0.8992260393176837,-0.8407766035147588,-0.7226586067199421,-0.1817620593358056,-0.36575522346947326,-1.0631201727674895,-0.35528620796028626,-0.8574198673391462,0.07964926084526712,0,Albania
-1.1333333333333333,0.8275152414654557,-0.2604506723756848,-0.16729431696565164,1.0037880573404656,0.15713354373284355,-1.103085059036113,-0.8932602151750588,-0.9831361522606308,-0.8334555427454843,-0.7892809228428493,-0.6938616979309582,-0.03951216766436235,-0.36575522346947326,-1.0083905619742335,-0.35835513404792124,-0.7781949574518574,0.40553473560907,0,Albania
-1.0,0.8432087850718083,-0.0965239344292654,-0.1703041125788278,0.9434073702188476,0.15713354373284355,-1.0741525998438122,-0.8885074585224666,-0.9667042347134691,-0.8211924466751721,-0.7736720854584033,-0.6554658195456466,-0.42031411501606286,-0.36575522346947326,-0.9780780690097685,-0.3614434643360724,-0.7588695365160937,0.15726429629799354,0,Albania
-0.8666666666666667,0.8352371705496788,-0.028273289425325147,-0.1683330823234296,0.8334070004972649,0.15713354373284355,-1.0390492315230835,-0.8492466673279357,-0.9660406055583599,-0.8166898758459017,-0.7717330294688809,-0.6926618267314173,-0.3803977916627446,-0.36575522346947326,-0.9421155578120627,-0.3659908489167072,-0.7605940395638926,0.07931092228932361,0,Albania
-0.7333333333333333,0.8289571907368911,-0.15475685223381497,-0.16636205206803217,0.6802637366913235,0.03995018105596159,-0.9851296484828868,-0.8083273755452279,-0.8791521691239929,-0.7860773795610884,-0.7445220432003297,-0.6794632435364664,-0.08108657080012968,-0.36575522346947326,-0.9220896950606015,-0.3674439097968308,-0.7256407895883411,0.14093321554153282,0,Albania
-0.6,0.8141320583796081,-0.15081948569397108,-0.16439102181263412,0.5785902517805389,-0.07723318162092038,-0.9309065781085047,-0.8197119245575669,-0.8790076490254581,-0.7647815311028561,-0.7252038139131861,-0.7022607963277452,-0.18536754825871476,-0.36575522346947326,-0.897800215944393,-0.3692568600057419,-0.703189155726993,0.2054676780254081,0,Albania
-0.4666666666666667,0.7708736333274159,-0.05932033774405352,-0.16241999155723671,0.6821083066516894,-0.07723318162092038,-0.8763800203999377,-0.7604301592816413,-0.8450178970092671,-0.7535092822615904,-0.7210729662529572,-0.7334574475158111,-0.11122133624222208,-0.36575522346947326,-0.8735704924281662,-0.3712819581220074,-0.7001396340083147,0.13087318614141968,0,Albania
